# verbModelExceptions.tsv
#
# Human-curated table of VER lemmas found in resources/LexiqueMixte.tsv that are
# NOT covered by resources/verbiste/verbs-fr.xml (i.e. absent from Verbiste's
# ~7,000-verb -> conjugation-template mapping), together with a manually reviewed
# conjugation-model assignment for each. See the "Undersampling-aware paradigm
# completion for sparse verb homophone groups" design plan for context.
#
# This table is the single source of truth for these verbs: util/completeVerbParadigms.py
# should look a verb up here (and fall back to Verbiste's own verbs-fr.xml lookup)
# rather than re-deriving any of this via prefix-stripping, elision rules, or other
# runtime heuristics -- those heuristics are deliberately NOT implemented in code
# (see conversation): every entry here was worked out by hand and should be edited
# by hand.
#
# STATUS remains scoped to what has been manually reviewed so far: the 18 -ir + 4
# -oir + 12 -re verbs from the residual Verbiste gap (34 total), plus the entries
# from that same gap review whose "lemma" looks like a LexiqueMixte lemma-extraction
# bug rather than a genuine missing verb. NOT YET COVERED: the ~478 leftover -er
# verbs (almost certainly regular, matchable by ending-pattern against Verbiste's
# existing -er templates without needing an exception here) and the ~205
# prefix-composition candidates (re+known-verb, dé+known-verb, etc. -- see
# PROGRESS notes / conversation for that list) which still need individual
# validation before being added here.
#
# Columns:
#   lemme            - the VER lemma as it appears in LexiqueMixte.tsv
#   template         - Verbiste template id (see resources/verbiste/conjugations-fr.xml
#                      <template name="..."> ids) this lemma's paradigm should follow.
#                      Blank if status is skip_artifact, or if status is defective/
#                      needs_review and no template could be confidently assigned.
#   model_sibling    - a real, well-attested Verbiste-covered verb that already uses
#                      `template`, to use as the phonology/orthography splicing source
#                      (Stage 4). Blank where not applicable.
#   status           - one of:
#       regular        confident this is a normal, fully-productive verb that simply
#                      happens to be missing from Verbiste; template should be trusted.
#       family_template confident based on a shared *irregular verb family* whose
#                      final string (not a strippable prefix) determines the template
#                      (e.g. reclure shares conclure/exclure's template even though
#                      bare "clure" isn't itself a Verbiste entry).
#       defective      genuinely defective/archaic verb: most of the paradigm does not
#                      exist in real French. Do NOT synthesize a full paradigm for
#                      these; only generate forms that are independently confirmed
#                      attested (or none at all).
#       needs_review   template guess is uncertain; needs a human linguist/native-
#                      speaker check before trusting it for row generation.
#       skip_artifact  this "lemma" is very likely a LexiqueMixte lemma-extraction bug
#                      (an inflected form, participle, or unrelated word wrongly
#                      stored as the lemma) rather than a real missing verb. Do not
#                      generate rows; consider fixing the source lexicon instead.
#   note             - free-text justification / uncertainty flag.
lemme	template	model_sibling	status	note
raidir	fin:ir	garnir	regular	Plain -ir/-iss- verb; surprising it's absent from Verbiste at all, double check spelling before trusting.
bonnir	fin:ir	garnir	regular	Slang ("to say"); alt spelling of bonir, same template expected.
bonir	fin:ir	garnir	regular	Alt spelling of bonnir, same template expected.
cramoisir	fin:ir	garnir	regular	Plain -ir/-iss- verb ("to turn crimson").
agonir	fin:ir	garnir	needs_review	Template matches "finir" per most references, but agonir is traditionally near-defective (mainly infinitive + "agonir d'injures"); cross-check against any attested corpus forms before generating a full paradigm.
ressouvenir	t:enir	souvenir	family_template	re + souvenir with French re+s doubling (ressortir, resservir pattern); follows venir/souvenir's t:enir template exactly.
férir			defective	Survives only in "sans coup férir" and participle "féru"; no real paradigm to generate.
avenir			defective	Archaic variant of advenir; defective, only 3rd-person forms attested (il avient). Possible lemma collision with the noun "avenir" (the future) -- verify against LexiqueMixte context before treating as this verb.
apâlir	fin:ir	pâlir	family_template	a + pâlir; pâlir itself should already be a Verbiste-covered fin:ir verb -- confirm pâlir's presence before relying on this.
rechampir	fin:ir	garnir	needs_review	The original motivating example (see design plan). "champir" is not itself a Verbiste entry, so this is a direct fin:ir assignment rather than a base-verb derivation; corpus frequency is 0 for all forms today.
brouir	fin:ir	garnir	needs_review	Rare/impersonal ("to scorch", of plants); plausible fin:ir but not verified against attested forms.
grinchir	fin:ir	garnir	needs_review	Regional/dialectal; plausible fin:ir but not verified.
amochir			skip_artifact	Likely a LexiqueMixte extraction bug: the real verb is probably "amocher" (-er), not "amochir".
ébaudir	fin:ir	garnir	needs_review	Archaic ("s'ébaudir" = to be amused); alt spelling esbaudir.
esbaudir	fin:ir	garnir	needs_review	Old-French spelling variant of ébaudir.
accalmir	fin:ir	garnir	needs_review	Dubious back-formation from the noun "accalmie"; verify this is actually attested as a verb before generating rows.
florir	fl:eurir	fleurir	family_template	Archaic variant of fleurir; confirms that florissait/florissaient (see skip_artifact entries below) are inflected forms of this same verb, not independent gaps.
chevir			defective	Archaic/defective ("venir a chevir" = to manage/cope); no real full paradigm.
ravoir		avoir	defective	NOT actually re+avoir by simple prefix-stripping (starts "ra-" not "re-"); standard grammars treat it as usable essentially only in the infinitive.
entrapercevoir	dé:cevoir	apercevoir	family_template	entre + apercevoir with vowel elision (entre+apercevoir -> entrapercevoir); apercevoir/decevoir/concevoir all share Verbiste's dé:cevoir template.
